,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,country_id,league_id,stage,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,HS,AS,HST,AST,B365H,B365D,B365A,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamDrawStreak,AwayTeamDrawStreak,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceAggressionClass,defenceTeamWidthClass,defenceDefenderLineClass,FTR
275,43,40,39,33,63,52,58,59,1729,1729,10,1229196,9879,8668,2,2,8.0,26.0,5.0,15.0,2.75,3.4,2.5,2,1,2,1,0,1,1,1,0,0,2,1,2,2,1,0,1
276,66,30,30,45,35,30,40,50,1729,1729,10,1229198,10260,9825,2,1,11.0,7.0,7.0,3.0,1.7,3.8,5.0,3,3,1,0,0,0,2,0,2,2,2,0,0,2,1,0,2
277,65,50,45,55,50,35,45,65,1729,1729,10,1229201,8472,10252,0,1,11.0,9.0,1.0,6.0,2.1,3.3,3.6,2,0,0,2,0,0,1,1,0,2,2,1,2,2,1,0,0
278,48,45,38,62,54,38,38,62,1729,1729,11,1229208,9825,9879,3,3,15.0,9.0,9.0,5.0,1.53,4.2,6.0,3,1,2,0,0,0,1,1,0,2,2,1,2,2,1,0,1
279,46,38,46,68,37,49,49,56,1729,1729,11,1229209,10252,10260,2,3,10.0,16.0,7.0,7.0,7.0,4.5,1.44,1,1,2,2,0,0,1,1,0,1,2,1,2,2,1,0,0
280,71,32,34,41,61,51,48,62,1729,1729,11,1229210,8455,8650,1,1,12.0,9.0,3.0,5.0,1.95,3.5,4.0,2,2,2,0,1,1,2,1,0,2,2,1,2,2,1,0,1
281,43,51,59,50,55,47,45,49,1729,1729,11,1229211,8668,8472,2,1,16.0,6.0,10.0,4.0,1.44,4.2,8.0,3,0,1,2,0,1,1,1,0,2,2,1,2,2,1,0,2
282,60,70,70,70,55,35,70,35,1729,1729,12,1229219,9879,8472,1,3,18.0,12.0,13.0,9.0,1.67,3.75,5.25,1,0,3,2,0,0,0,1,1,1,2,1,2,1,1,0,0
283,65,50,45,55,50,35,45,65,1729,1729,12,1229221,8456,10252,5,0,21.0,10.0,8.0,8.0,1.2,6.5,15.0,4,1,1,2,0,0,1,1,0,2,2,1,2,2,1,0,2
284,56,56,48,57,56,50,50,60,1729,1729,12,1229226,9798,8668,2,1,12.0,21.0,4.0,11.0,4.33,3.6,1.83,0,1,0,2,0,0,1,1,0,2,2,1,2,2,1,0,2
