,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,country_id,league_id,stage,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,HS,AS,HST,AST,B365H,B365D,B365A,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamDrawStreak,AwayTeamDrawStreak,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceAggressionClass,defenceTeamWidthClass,defenceDefenderLineClass,FTR,FTResult
58,55,55,55,65,55,45,55,65,1729,1729,27,659083,9825,8472,2,0,16.0,6.0,10.0,4.0,1.22,6.0,15.0,2,0,1,1,0,0,1,1,0,2,2,1,2,2,1,0,2,1
59,50,35,50,60,70,40,60,40,1729,1729,27,659086,8456,8650,0,0,4.0,6.0,1.0,2.0,2.4,3.3,3.0,3,2,1,0,0,0,1,1,0,2,1,1,2,2,1,0,1,0
60,36,52,49,68,55,24,56,66,1729,1729,27,659087,10252,8191,5,2,15.0,13.0,8.0,10.0,1.36,4.5,10.0,0,0,2,1,0,0,1,1,0,1,2,1,0,2,1,0,2,1
61,48,45,38,62,54,38,38,62,1729,1729,28,659088,8472,9879,0,0,12.0,3.0,5.0,1.0,2.2,3.2,3.5,1,1,2,2,0,0,1,1,0,2,2,1,2,2,1,0,1,0
62,36,34,39,44,38,42,44,54,1729,1729,28,659094,8455,8456,2,4,23.0,8.0,13.0,6.0,1.44,4.33,7.5,4,0,1,1,0,0,1,1,0,2,2,0,2,2,1,0,0,-1
63,59,57,49,47,53,39,40,44,1729,1729,28,659096,8191,8462,1,2,14.0,13.0,8.0,5.0,2.0,3.4,3.8,1,0,3,1,0,0,1,1,0,2,2,1,2,2,1,0,0,-1
64,67,36,41,34,44,39,41,46,1729,1729,29,659101,8462,8455,0,5,10.0,20.0,6.0,11.0,12.0,5.0,1.3,2,3,1,0,1,1,1,1,0,2,2,1,2,2,1,0,0,-1
65,60,70,70,70,55,35,70,35,1729,1729,29,659104,10252,8472,1,1,11.0,10.0,4.0,5.0,1.53,3.8,7.0,1,0,2,1,0,0,0,1,1,1,2,1,2,1,1,0,1,0
66,36,52,49,68,55,24,56,66,1729,1729,29,659105,9825,8191,3,1,20.0,8.0,11.0,5.0,1.14,7.5,21.0,3,0,1,0,0,0,1,1,0,1,2,1,0,2,1,0,2,1
67,59,57,49,47,53,39,40,44,1729,1729,3,658593,9825,8462,4,1,19.0,9.0,16.0,4.0,1.17,7.0,19.0,3,1,1,0,0,0,1,1,0,2,2,1,2,2,1,0,2,1
