,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,country_id,league_id,stage,match_api_id,home_team_api_id,away_team_api_id,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamDrawStreak,AwayTeamDrawStreak,date,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceAggressionClass,defenceTeamWidthClass,defenceDefenderLineClass,HomeTeam,AwayTeam,FTR,id,country_id,league_id,season,stage,match_api_id,home_team_api_id,away_team_api_id,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,Date,HomeTeam,AwayTeam,FTR,HS,AS,HST,AST,B365H,B365D,B365A,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamDrawStreak,AwayTeamDrawStreak
537,70,60,55,70,70,45,55,45,1729,1729,23,1724203,8455,8456,4,2,0,1,0,1,0,1,1,0,1,1,1,2,2,1,0,4,9,1,4160,1729,1729,2014/2015,23,1724203,8455,8456,170323.0,31306.0,281207.0,30627.0,72541.0,79574.0,115067.0,94086.0,128864.0,107417.0,39987.0,31432.0,26111.0,39027.0,30459.0,31291.0,101103.0,40196.0,33991.0,37459.0,38807.0,37412.0,2010-02-22,chelsea,manchestercity,D,3.0,10.0,2.0,5.0,2.15,3.5,3.6,4,2,0,1
176,52,56,58,41,54,29,28,39,1729,1729,35,840197,8472,9879,1,0,1,3,4,0,1,1,1,0,2,2,1,0,0,1,0,14,7,0,2771,1729,1729,2010/2011,35,840197,8472,9879,37868.0,111930.0,34275.0,24209.0,36786.0,156008.0,25150.0,30905.0,160243.0,38802.0,33468.0,30633.0,43247.0,30890.0,23780.0,34479.0,24020.0,30338.0,23283.0,163205.0,24741.0,33074.0,2014-09-19,sunderland,fulham,A,11.0,9.0,7.0,6.0,2.6,3.2,2.8,1,0,1,3
134,71,32,34,41,61,51,48,62,1729,1729,19,840003,8483,8650,0,1,1,1,4,1,1,2,1,0,2,2,1,2,2,1,0,2,8,2,2598,1729,1729,2010/2011,19,840003,8483,8650,72810.0,29571.0,40548.0,35554.0,23065.0,40563.0,39109.0,46344.0,23464.0,21853.0,22959.0,30660.0,34036.0,22764.0,25984.0,154271.0,25923.0,32937.0,95327.0,37262.0,37139.0,30853.0,2014-09-19,blackpool,liverpool,H,13.0,10.0,9.0,6.0,3.8,3.75,1.91,0,1,1,1
105,43,51,59,50,55,47,45,49,1729,1729,8,658679,10260,8472,4,0,0,2,5,0,1,1,1,0,2,2,1,2,2,1,0,10,14,1,2469,1729,1729,2009/2010,8,658679,10260,8472,24147.0,24150.0,43248.0,30865.0,32569.0,40945.0,30373.0,24148.0,113836.0,30829.0,27430.0,32562.0,36786.0,34275.0,24740.0,30352.0,38802.0,26171.0,25150.0,17866.0,23949.0,30988.0,2015-09-10,manchesterunited,sunderland,D,17.0,4.0,9.0,3.0,1.2,6.5,15.0,4,0,0,2
399,59,29,38,36,24,48,47,54,1729,1729,15,1474520,8466,8456,3,3,1,0,5,0,1,2,0,0,2,0,0,2,2,1,0,13,9,1,3694,1729,1729,2013/2014,15,1474520,8466,8456,278285.0,425255.0,114268.0,26552.0,362694.0,279490.0,46008.0,37234.0,23792.0,109491.0,40165.0,103428.0,30509.0,39027.0,30459.0,16351.0,40196.0,36615.0,38807.0,37412.0,26181.0,75310.0,2015-09-10,southampton,manchestercity,D,15.0,13.0,4.0,3.0,5.25,3.8,1.75,3,3,1,0
425,59,30,28,44,46,51,44,52,1729,1729,23,1474940,8466,9825,0,2,3,1,5,0,1,2,1,2,2,2,0,2,2,1,0,13,0,1,3784,1729,1729,2013/2014,23,1474940,8466,9825,30974.0,425255.0,72665.0,26552.0,362694.0,23792.0,46008.0,46893.0,37234.0,109491.0,502421.0,169718.0,26111.0,35606.0,46539.0,38521.0,23688.0,24011.0,385437.0,36378.0,37436.0,46469.0,2015-09-10,southampton,arsenal,D,13.0,7.0,5.0,4.0,4.33,3.5,1.95,0,2,3,1
142,70,60,55,70,70,45,55,45,1729,1729,22,840066,9825,8456,4,2,1,2,0,1,0,1,1,0,1,1,1,2,2,1,0,0,9,1,2630,1729,1729,2010/2011,22,840066,9825,8456,30973.0,26111.0,30986.0,46539.0,31291.0,23678.0,143793.0,31013.0,30613.0,26181.0,30843.0,31432.0,24208.0,39027.0,30831.0,30509.0,30598.0,23782.0,38807.0,36615.0,40792.0,38817.0,2010-02-22,arsenal,manchestercity,D,13.0,5.0,8.0,0.0,1.91,3.6,4.0,4,2,1,2
91,68,62,40,47,56,49,51,44,1729,1729,38,659370,8668,8462,5,1,0,0,3,1,0,1,1,0,2,2,1,2,2,1,0,6,11,2,2420,1729,1729,2009/2010,38,659370,8668,8462,31465.0,24023.0,23268.0,24216.0,24846.0,24006.0,109058.0,24011.0,36012.0,25666.0,30735.0,24368.0,24137.0,25995.0,23889.0,38368.0,24747.0,25517.0,47418.0,27335.0,26347.0,25543.0,2013-09-20,everton,portsmouth,H,21.0,10.0,13.0,4.0,1.29,5.5,11.0,5,1,0,0
486,48,45,38,62,54,38,38,62,1729,1729,8,1474256,9826,9879,3,1,1,1,2,0,0,1,1,0,2,2,1,2,2,1,0,5,7,0,3992,1729,1729,2013/2014,8,1474256,9826,9879,22998.0,146830.0,23358.0,23030.0,32087.0,148909.0,8985.0,35345.0,213502.0,160194.0,363340.0,30841.0,31290.0,26777.0,30890.0,30352.0,197514.0,24223.0,23283.0,38229.0,27430.0,23949.0,2012-02-22,crystalpalace,fulham,A,14.0,9.0,4.0,6.0,2.75,3.3,2.8,3,1,1,1
567,46,54,49,72,56,42,41,56,1729,1729,33,1724304,8455,10260,2,2,3,3,4,0,1,1,1,0,1,2,1,2,2,1,0,4,10,2,4271,1729,1729,2014/2015,33,1724304,8455,10260,170323.0,31306.0,23783.0,30627.0,72541.0,281207.0,115067.0,128864.0,30613.0,107417.0,30822.0,182917.0,35327.0,165823.0,575780.0,362694.0,164676.0,41468.0,30829.0,39618.0,23354.0,22543.0,2014-09-19,chelsea,manchesterunited,H,7.0,15.0,2.0,2.0,2.0,3.4,4.33,2,2,3,3
200,63,59,52,55,34,39,41,54,1729,1729,1,1024173,9879,10252,1,1,3,2,3,0,0,1,1,0,2,2,1,2,2,1,0,7,1,1,2870,1729,1729,2011/2012,1,1024173,9879,10252,30633.0,23780.0,26777.0,30890.0,24130.0,34574.0,25253.0,30338.0,30956.0,31907.0,24741.0,24224.0,30357.0,24751.0,24211.0,24136.0,78324.0,38609.0,29581.0,34466.0,23264.0,23949.0,2013-09-20,fulham,astonvilla,D,13.0,7.0,9.0,1.0,2.2,3.2,3.5,1,1,3,2
1,52,56,58,41,54,29,28,39,1729,1729,1,658580,8462,9879,0,0,0,0,4,0,1,1,1,0,2,2,1,0,0,1,0,11,7,0,2116,1729,1729,2009/2010,1,658580,8462,9879,36286.0,26108.0,24216.0,40987.0,47418.0,24747.0,23889.0,38820.0,25543.0,25517.0,26347.0,30633.0,37266.0,23780.0,26777.0,24781.0,24737.0,30338.0,25253.0,30956.0,31907.0,24741.0,2014-09-19,portsmouth,fulham,A,16.0,9.0,4.0,3.0,2.63,3.2,2.75,0,0,0,0
150,48,45,38,62,54,38,38,62,1729,1729,26,840107,10252,9879,2,0,1,0,2,0,0,1,1,0,2,2,1,2,2,1,0,1,7,1,2671,1729,1729,2010/2011,26,840107,10252,9879,30380.0,159833.0,24211.0,24751.0,161414.0,38609.0,25572.0,30892.0,23354.0,23264.0,23949.0,30633.0,37266.0,23780.0,26777.0,43247.0,34574.0,30338.0,23283.0,30956.0,31907.0,41008.0,2012-02-22,astonvilla,fulham,D,10.0,13.0,5.0,9.0,1.91,3.4,4.2,2,0,1,0
401,61,68,67,62,52,36,34,48,1729,1729,16,1474537,8455,9826,4,0,0,0,4,0,1,0,1,1,2,2,1,2,2,1,0,4,5,2,3701,1729,1729,2013/2014,16,1474537,8455,9826,30859.0,31306.0,52133.0,30627.0,72541.0,79574.0,30675.0,94086.0,41468.0,107417.0,30853.0,22998.0,23358.0,23030.0,24744.0,146830.0,35345.0,8985.0,112035.0,161415.0,25537.0,31953.0,2014-09-19,chelsea,crystalpalace,H,16.0,10.0,7.0,5.0,1.18,8.0,19.0,4,0,0,0
5,67,58,44,60,56,43,50,52,1729,1729,11,658712,8668,10252,0,0,0,0,2,1,0,1,1,0,2,2,1,2,2,1,0,6,1,1,2132,1729,1729,2009/2010,11,658712,8668,10252,31465.0,30687.0,24004.0,24216.0,24846.0,30839.0,109058.0,30876.0,10491.0,39618.0,24160.0,30380.0,33863.0,24211.0,24751.0,24136.0,38807.0,38609.0,23283.0,23354.0,34466.0,23264.0,2012-02-22,everton,astonvilla,D,9.0,13.0,4.0,8.0,2.5,3.25,2.88,0,0,0,0
535,66,30,30,45,35,30,40,50,1729,1729,22,1724196,8456,9825,4,2,1,2,0,0,0,2,0,2,2,2,0,0,2,1,0,9,0,0,4153,1729,1729,2014/2015,22,1724196,8456,9825,31432.0,30509.0,30459.0,39027.0,31291.0,101103.0,40196.0,33991.0,37459.0,38807.0,37412.0,50065.0,427438.0,35606.0,46539.0,38521.0,159594.0,75489.0,37436.0,196386.0,46469.0,50047.0,2010-02-22,manchestercity,arsenal,A,12.0,9.0,4.0,3.0,1.8,4.0,4.5,4,2,1,2
342,60,50,40,45,60,55,55,50,1729,1729,30,1229422,8466,8650,1,1,2,3,1,0,0,1,1,0,2,2,1,2,2,1,0,13,8,2,3483,1729,1729,2012/2013,30,1229422,8466,8650,30974.0,157838.0,72665.0,45418.0,362694.0,46893.0,46008.0,109491.0,190872.0,37234.0,39225.0,35442.0,34036.0,22764.0,25984.0,37475.0,30618.0,47558.0,184536.0,30892.0,51553.0,40636.0,2011-02-22,southampton,liverpool,H,17.0,8.0,12.0,6.0,4.2,3.8,1.91,1,1,2,3
560,36,34,39,44,38,42,44,54,1729,1729,31,1724285,9826,8456,1,1,0,2,3,0,0,1,1,0,2,2,0,2,2,1,0,5,9,2,4252,1729,1729,2014/2015,31,1724285,9826,8456,22998.0,146830.0,23837.0,23030.0,154271.0,22929.0,28901.0,198510.0,35345.0,160194.0,35523.0,31432.0,26111.0,30459.0,39027.0,31291.0,33991.0,40196.0,36615.0,37459.0,37412.0,15403.0,2013-09-20,crystalpalace,manchestercity,H,5.0,22.0,3.0,4.0,5.0,4.0,1.67,1,1,0,2
248,60,70,70,70,55,35,70,35,1729,1729,33,1025923,8668,8472,3,0,0,3,0,0,0,0,1,1,1,2,1,2,1,1,0,6,14,2,3131,1729,1729,2011/2012,33,1025923,8668,8472,31465.0,24023.0,23268.0,30839.0,30371.0,24002.0,39618.0,24006.0,36012.0,158962.0,160196.0,37868.0,36786.0,34275.0,23073.0,160243.0,35443.0,40563.0,25150.0,175947.0,25075.0,33468.0,2010-02-22,everton,sunderland,H,22.0,3.0,12.0,0.0,1.83,3.5,4.5,3,0,0,3
283,65,50,45,55,50,35,45,65,1729,1729,12,1229221,8456,10252,4,1,1,2,1,0,0,1,1,0,2,2,1,2,2,1,0,9,1,2,3282,1729,1729,2012/2013,12,1229221,8456,10252,31432.0,34305.0,39027.0,213485.0,31291.0,36615.0,23782.0,26181.0,38817.0,37459.0,37412.0,69650.0,183715.0,30602.0,161414.0,141576.0,161415.0,182223.0,23264.0,24213.0,184360.0,148315.0,2011-02-22,manchestercity,astonvilla,H,21.0,10.0,8.0,8.0,1.2,6.5,15.0,4,1,1,2
