,HomeTeam,AwayTeam
186,kvmechelen,kvkortrijk
187,krcgenk,kvcwesterlo
188,standarddeliege,beerschotac
189,rscanderlecht,clubbruggekv
190,ksvroeselare,krcgenk
191,beerschotac,svzulte-waregem
192,standarddeliege,sportinglokeren
193,kvkortrijk,fcvdendereh
194,raecmons,kvmechelen
195,sportingcharleroi,royalexcelmouscron
196,ksvcerclebrugge,tubize
197,kaagent,kvcwesterlo
198,rscanderlecht,kvkortrijk
199,krcgenk,sportinglokeren
200,ksvcerclebrugge,raecmons
201,kaagent,sportingcharleroi
202,fcvdendereh,royalexcelmouscron
203,kvmechelen,svzulte-waregem
204,ksvroeselare,standarddeliege
205,tubize,clubbruggekv
206,kvcwesterlo,beerschotac
207,kvcwesterlo,rscanderlecht
208,royalexcelmouscron,standarddeliege
209,clubbruggekv,raecmons
210,tubize,sportingcharleroi
211,kvmechelen,ksvcerclebrugge
212,krcgenk,kaagent
213,fcvdendereh,ksvroeselare
214,svzulte-waregem,kvkortrijk
215,sportinglokeren,beerschotac
216,beerschotac,clubbruggekv
217,ksvcerclebrugge,krcgenk
218,sportingcharleroi,svzulte-waregem
219,ksvroeselare,kaagent
220,rscanderlecht,fcvdendereh
221,standarddeliege,kvmechelen
222,sportinglokeren,royalexcelmouscron
223,kvkortrijk,tubize
224,raecmons,kvcwesterlo
225,tubize,rscanderlecht
226,svzulte-waregem,standarddeliege
227,fcvdendereh,raecmons
228,kvmechelen,sportingcharleroi
229,kaagent,ksvcerclebrugge
230,clubbruggekv,sportinglokeren
231,kvcwesterlo,ksvroeselare
232,krcgenk,kvkortrijk
233,royalexcelmouscron,beerschotac
234,standarddeliege,clubbruggekv
235,sportingcharleroi,krcgenk
236,royalexcelmouscron,svzulte-waregem
237,kvkortrijk,kaagent
238,sportinglokeren,fcvdendereh
239,beerschotac,kvmechelen
240,rscanderlecht,ksvroeselare
241,raecmons,tubize
242,ksvcerclebrugge,kvcwesterlo
243,krcgenk,rscanderlecht
244,kaagent,standarddeliege
245,svzulte-waregem,raecmons
246,fcvdendereh,sportingcharleroi
247,ksvroeselare,ksvcerclebrugge
248,kvmechelen,sportinglokeren
249,clubbruggekv,royalexcelmouscron
250,kvcwesterlo,kvkortrijk
251,tubize,beerschotac
252,clubbruggekv,fcvdendereh
253,standarddeliege,kvkortrijk
254,raecmons,rscanderlecht
255,svzulte-waregem,krcgenk
256,sportingcharleroi,ksvcerclebrugge
257,sportinglokeren,kvcwesterlo
258,kvmechelen,tubize
259,royalexcelmouscron,kaagent
260,beerschotac,ksvroeselare
261,rscanderlecht,sportingcharleroi
262,krcgenk,clubbruggekv
263,ksvcerclebrugge,beerschotac
264,kaagent,kvmechelen
265,fcvdendereh,svzulte-waregem
266,ksvroeselare,sportinglokeren
267,kvkortrijk,raecmons
268,tubize,standarddeliege
269,kvcwesterlo,royalexcelmouscron
270,clubbruggekv,kvcwesterlo
271,standarddeliege,rscanderlecht
272,raecmons,ksvroeselare
273,svzulte-waregem,tubize
274,sportingcharleroi,kvkortrijk
275,sportinglokeren,ksvcerclebrugge
276,kvmechelen,fcvdendereh
277,royalexcelmouscron,krcgenk
278,beerschotac,kaagent
279,rscanderlecht,royalexcelmouscron
280,krcgenk,kvmechelen
281,raecmons,sportingcharleroi
282,ksvcerclebrugge,standarddeliege
283,kaagent,sportinglokeren
284,ksvroeselare,clubbruggekv
285,kvkortrijk,beerschotac
286,tubize,fcvdendereh
287,kvcwesterlo,svzulte-waregem
288,clubbruggekv,ksvcerclebrugge
289,standarddeliege,raecmons
290,svzulte-waregem,rscanderlecht
291,sportinglokeren,kvkortrijk
292,fcvdendereh,krcgenk
293,kvmechelen,kvcwesterlo
294,royalexcelmouscron,ksvroeselare
295,tubize,kaagent
296,beerschotac,sportingcharleroi
297,rscanderlecht,kvmechelen
298,krcgenk,standarddeliege
299,raecmons,beerschotac
300,sportingcharleroi,sportinglokeren
301,ksvcerclebrugge,fcvdendereh
302,kaagent,clubbruggekv
303,ksvroeselare,svzulte-waregem
304,kvkortrijk,royalexcelmouscron
305,kvcwesterlo,tubize
306,standarddeliege,sint-truidensevv
307,sportingcharleroi,clubbruggekv
308,ksvcerclebrugge,kaagent
309,sportinglokeren,svzulte-waregem
310,kvkortrijk,rscanderlecht
311,kvmechelen,kvcwesterlo
312,ksvroeselare,beerschotac
313,clubbruggekv,rscanderlecht
314,standarddeliege,krcgenk
315,sint-truidensevv,svzulte-waregem
316,sportingcharleroi,kvkortrijk
317,kvmechelen,sportinglokeren
318,ksvroeselare,ksvcerclebrugge
319,beerschotac,kvcwesterlo
320,clubbruggekv,kaagent
321,rscanderlecht,sportingcharleroi
322,krcgenk,kvmechelen
323,svzulte-waregem,beerschotac
324,sportinglokeren,ksvcerclebrugge
325,kvkortrijk,ksvroeselare
326,kvcwesterlo,standarddeliege
327,standarddeliege,svzulte-waregem
328,sint-truidensevv,kaagent
329,sportingcharleroi,kvcwesterlo
330,ksvcerclebrugge,kvkortrijk
331,sportinglokeren,krcgenk
332,kvmechelen,rscanderlecht
333,ksvroeselare,clubbruggekv
334,clubbruggekv,sint-truidensevv
335,rscanderlecht,sportinglokeren
336,krcgenk,ksvcerclebrugge
337,svzulte-waregem,sportingcharleroi
338,kaagent,beerschotac
339,kvkortrijk,kvmechelen
340,kvcwesterlo,ksvroeselare
341,standarddeliege,clubbruggekv
342,krcgenk,rscanderlecht
343,sportingcharleroi,kaagent
344,ksvcerclebrugge,kvcwesterlo
345,sportinglokeren,kvkortrijk
346,ksvroeselare,svzulte-waregem
347,beerschotac,sint-truidensevv
348,clubbruggekv,beerschotac
349,rscanderlecht,ksvroeselare
350,sint-truidensevv,ksvcerclebrugge
