,HomeTeam,AwayTeam
5268,ajauxerre,usboulognecoted'opale
5269,girondinsdebordeaux,olympiquedemarseille
5270,grenoblefoot38,assaint-etienne
5271,lemansfc,fclorient
5272,losclille,parissaint-germain
5273,asmonaco,fcsochaux-montbeliard
5274,montpellierheraultsc,ogcnice
5275,asnancy-lorraine,olympiquelyonnais
5276,staderennaisfc,rclens
5277,valenciennesfc,toulousefc
5278,usboulognecoted'opale,valenciennesfc
5279,grenoblefoot38,girondinsdebordeaux
5280,rclens,montpellierheraultsc
5281,fclorient,olympiquelyonnais
5282,olympiquedemarseille,lemansfc
5283,ogcnice,ajauxerre
5284,parissaint-germain,asmonaco
5285,assaint-etienne,staderennaisfc
5286,fcsochaux-montbeliard,losclille
5287,toulousefc,asnancy-lorraine
5288,ajauxerre,assaint-etienne
5289,girondinsdebordeaux,usboulognecoted'opale
5290,lemansfc,toulousefc
5291,losclille,rclens
5292,olympiquelyonnais,parissaint-germain
5293,asmonaco,ogcnice
5294,montpellierheraultsc,olympiquedemarseille
5295,asnancy-lorraine,fclorient
5296,staderennaisfc,grenoblefoot38
5297,valenciennesfc,fcsochaux-montbeliard
5298,usboulognecoted'opale,montpellierheraultsc
5299,grenoblefoot38,ajauxerre
5300,rclens,lemansfc
5301,olympiquedemarseille,valenciennesfc
5302,ogcnice,losclille
5303,parissaint-germain,fclorient
5304,staderennaisfc,girondinsdebordeaux
5305,assaint-etienne,asmonaco
5306,fcsochaux-montbeliard,asnancy-lorraine
5307,toulousefc,olympiquelyonnais
5308,ajauxerre,staderennaisfc
5309,girondinsdebordeaux,assaint-etienne
5310,lemansfc,fcsochaux-montbeliard
5311,losclille,usboulognecoted'opale
5312,fclorient,toulousefc
5313,olympiquelyonnais,rclens
5314,asmonaco,olympiquedemarseille
5315,montpellierheraultsc,grenoblefoot38
5316,asnancy-lorraine,parissaint-germain
5317,valenciennesfc,ogcnice
5318,girondinsdebordeaux,ajauxerre
5319,usboulognecoted'opale,lemansfc
5320,grenoblefoot38,valenciennesfc
5321,rclens,asmonaco
5322,olympiquedemarseille,asnancy-lorraine
5323,ogcnice,fclorient
5324,parissaint-germain,toulousefc
5325,staderennaisfc,losclille
5326,assaint-etienne,montpellierheraultsc
5327,fcsochaux-montbeliard,olympiquelyonnais
5328,lemansfc,girondinsdebordeaux
5329,losclille,ajauxerre
5330,fclorient,fcsochaux-montbeliard
5331,olympiquelyonnais,ogcnice
5332,asmonaco,usboulognecoted'opale
5333,montpellierheraultsc,staderennaisfc
5334,asnancy-lorraine,grenoblefoot38
5335,parissaint-germain,olympiquedemarseille
5336,toulousefc,rclens
5337,valenciennesfc,assaint-etienne
5338,ajauxerre,valenciennesfc
5339,girondinsdebordeaux,montpellierheraultsc
5340,usboulognecoted'opale,olympiquelyonnais
5341,grenoblefoot38,lemansfc
5342,rclens,parissaint-germain
5343,olympiquedemarseille,fclorient
5344,ogcnice,asnancy-lorraine
5345,staderennaisfc,asmonaco
5346,assaint-etienne,losclille
5347,fcsochaux-montbeliard,toulousefc
5348,lemansfc,ogcnice
5349,losclille,grenoblefoot38
5350,fclorient,rclens
5351,olympiquelyonnais,assaint-etienne
5352,asmonaco,girondinsdebordeaux
5353,montpellierheraultsc,ajauxerre
5354,asnancy-lorraine,usboulognecoted'opale
5355,parissaint-germain,fcsochaux-montbeliard
5356,toulousefc,olympiquedemarseille
5357,valenciennesfc,staderennaisfc
5358,ajauxerre,lemansfc
5359,girondinsdebordeaux,losclille
5360,usboulognecoted'opale,fclorient
5361,grenoblefoot38,asmonaco
5362,rclens,fcsochaux-montbeliard
5363,olympiquedemarseille,olympiquelyonnais
5364,montpellierheraultsc,valenciennesfc
5365,ogcnice,parissaint-germain
5366,staderennaisfc,toulousefc
5367,assaint-etienne,asnancy-lorraine
5368,ajauxerre,olympiquelyonnais
5369,girondinsdebordeaux,ogcnice
5370,grenoblefoot38,rclens
5371,lemansfc,asnancy-lorraine
5372,losclille,toulousefc
5373,asmonaco,fclorient
5374,montpellierheraultsc,fcsochaux-montbeliard
5375,staderennaisfc,olympiquedemarseille
5376,assaint-etienne,usboulognecoted'opale
5377,valenciennesfc,parissaint-germain
5378,lemansfc,staderennaisfc
5379,losclille,montpellierheraultsc
5380,fclorient,assaint-etienne
5381,olympiquelyonnais,grenoblefoot38
5382,asmonaco,ajauxerre
5383,asnancy-lorraine,rclens
5384,parissaint-germain,usboulognecoted'opale
5385,fcsochaux-montbeliard,olympiquedemarseille
5386,toulousefc,ogcnice
5387,valenciennesfc,girondinsdebordeaux
5388,ajauxerre,parissaint-germain
5389,girondinsdebordeaux,asnancy-lorraine
5390,usboulognecoted'opale,toulousefc
5391,grenoblefoot38,fclorient
5392,olympiquedemarseille,rclens
5393,montpellierheraultsc,asmonaco
5394,ogcnice,fcsochaux-montbeliard
5395,staderennaisfc,olympiquelyonnais
5396,assaint-etienne,lemansfc
5397,valenciennesfc,losclille
5398,lemansfc,montpellierheraultsc
5399,rclens,usboulognecoted'opale
5400,fclorient,staderennaisfc
5401,olympiquelyonnais,losclille
5402,olympiquedemarseille,ogcnice
5403,asmonaco,valenciennesfc
5404,asnancy-lorraine,ajauxerre
5405,fcsochaux-montbeliard,assaint-etienne
5406,toulousefc,grenoblefoot38
5407,parissaint-germain,girondinsdebordeaux
5408,ajauxerre,fclorient
5409,girondinsdebordeaux,olympiquelyonnais
5410,usboulognecoted'opale,olympiquedemarseille
5411,grenoblefoot38,fcsochaux-montbeliard
5412,losclille,asmonaco
5413,montpellierheraultsc,toulousefc
5414,ogcnice,rclens
5415,staderennaisfc,asnancy-lorraine
5416,assaint-etienne,parissaint-germain
5417,valenciennesfc,lemansfc
5418,lemansfc,losclille
5419,rclens,valenciennesfc
5420,fclorient,girondinsdebordeaux
5421,olympiquelyonnais,asmonaco
5422,olympiquedemarseille,assaint-etienne
5423,asnancy-lorraine,montpellierheraultsc
5424,ogcnice,grenoblefoot38
5425,parissaint-germain,staderennaisfc
5426,fcsochaux-montbeliard,usboulognecoted'opale
5427,toulousefc,ajauxerre
5428,ajauxerre,olympiquedemarseille
5429,girondinsdebordeaux,toulousefc
5430,usboulognecoted'opale,ogcnice
5431,grenoblefoot38,parissaint-germain
5432,losclille,asnancy-lorraine
5433,asmonaco,lemansfc
5434,montpellierheraultsc,olympiquelyonnais
5435,staderennaisfc,fcsochaux-montbeliard
5436,assaint-etienne,rclens
5437,valenciennesfc,fclorient
5438,usboulognecoted'opale,assaint-etienne
5439,rclens,grenoblefoot38
5440,fclorient,asmonaco
5441,olympiquelyonnais,ajauxerre
5442,olympiquedemarseille,staderennaisfc
5443,asnancy-lorraine,lemansfc
5444,ogcnice,girondinsdebordeaux
5445,parissaint-germain,valenciennesfc
5446,fcsochaux-montbeliard,montpellierheraultsc
5447,toulousefc,losclille
5448,ajauxerre,rclens
5449,girondinsdebordeaux,fcsochaux-montbeliard
5450,grenoblefoot38,usboulognecoted'opale
5451,lemansfc,parissaint-germain
5452,losclille,olympiquedemarseille
5453,asmonaco,asnancy-lorraine
5454,montpellierheraultsc,fclorient
5455,staderennaisfc,ogcnice
5456,assaint-etienne,toulousefc
5457,valenciennesfc,olympiquelyonnais
5458,usboulognecoted'opale,staderennaisfc
5459,rclens,girondinsdebordeaux
5460,fclorient,losclille
5461,olympiquelyonnais,lemansfc
5462,olympiquedemarseille,grenoblefoot38
5463,asnancy-lorraine,valenciennesfc
5464,ogcnice,assaint-etienne
5465,parissaint-germain,montpellierheraultsc
5466,fcsochaux-montbeliard,ajauxerre
5467,toulousefc,asmonaco
5468,usboulognecoted'opale,ajauxerre
5469,rclens,staderennaisfc
5470,fclorient,lemansfc
5471,olympiquelyonnais,asnancy-lorraine
5472,olympiquedemarseille,girondinsdebordeaux
5473,ogcnice,montpellierheraultsc
5474,parissaint-germain,losclille
5475,assaint-etienne,grenoblefoot38
5476,fcsochaux-montbeliard,asmonaco
5477,toulousefc,valenciennesfc
5478,ajauxerre,ogcnice
5479,girondinsdebordeaux,grenoblefoot38
5480,lemansfc,olympiquedemarseille
5481,losclille,fcsochaux-montbeliard
5482,olympiquelyonnais,fclorient
5483,asmonaco,parissaint-germain
5484,montpellierheraultsc,rclens
5485,asnancy-lorraine,toulousefc
5486,staderennaisfc,assaint-etienne
5487,valenciennesfc,usboulognecoted'opale
5488,usboulognecoted'opale,girondinsdebordeaux
5489,grenoblefoot38,staderennaisfc
5490,rclens,losclille
5491,fclorient,asnancy-lorraine
5492,olympiquedemarseille,montpellierheraultsc
5493,ogcnice,asmonaco
5494,parissaint-germain,olympiquelyonnais
5495,assaint-etienne,ajauxerre
5496,fcsochaux-montbeliard,valenciennesfc
5497,toulousefc,lemansfc
5498,ajauxerre,grenoblefoot38
5499,girondinsdebordeaux,staderennaisfc
5500,lemansfc,rclens
5501,losclille,ogcnice
5502,fclorient,parissaint-germain
5503,olympiquelyonnais,toulousefc
5504,asmonaco,assaint-etienne
5505,montpellierheraultsc,usboulognecoted'opale
5506,asnancy-lorraine,fcsochaux-montbeliard
5507,valenciennesfc,olympiquedemarseille
5508,usboulognecoted'opale,losclille
5509,grenoblefoot38,montpellierheraultsc
5510,rclens,olympiquelyonnais
5511,olympiquedemarseille,asmonaco
5512,ogcnice,valenciennesfc
5513,parissaint-germain,asnancy-lorraine
5514,staderennaisfc,ajauxerre
5515,assaint-etienne,girondinsdebordeaux
5516,fcsochaux-montbeliard,lemansfc
5517,toulousefc,fclorient
5518,ajauxerre,girondinsdebordeaux
5519,lemansfc,usboulognecoted'opale
5520,losclille,staderennaisfc
5521,fclorient,ogcnice
5522,olympiquelyonnais,fcsochaux-montbeliard
5523,asmonaco,rclens
5524,montpellierheraultsc,assaint-etienne
5525,asnancy-lorraine,olympiquedemarseille
5526,toulousefc,parissaint-germain
5527,valenciennesfc,grenoblefoot38
5528,ajauxerre,fclorient
5529,rclens,asnancy-lorraine
5530,olympiquelyonnais,asmonaco
5531,olympiquedemarseille,smcaen
5532,montpellierheraultsc,girondinsdebordeaux
5533,ogcnice,valenciennesfc
5534,parissaint-germain,assaint-etienne
5535,staderennaisfc,losclille
5536,fcsochaux-montbeliard,acarles-avignon
5537,toulousefc,stadebrestois29
5538,acarles-avignon,olympiquelyonnais
5539,girondinsdebordeaux,stadebrestois29
5540,rclens,ogcnice
5541,losclille,olympiquedemarseille
5542,asmonaco,valenciennesfc
5543,asnancy-lorraine,fclorient
5544,parissaint-germain,ajauxerre
5545,staderennaisfc,montpellierheraultsc
5546,assaint-etienne,smcaen
5547,fcsochaux-montbeliard,toulousefc
5548,ajauxerre,ogcnice
5549,stadebrestois29,assaint-etienne
5550,smcaen,asnancy-lorraine
5551,fclorient,acarles-avignon
5552,olympiquelyonnais,fcsochaux-montbeliard
5553,olympiquedemarseille,staderennaisfc
5554,asmonaco,girondinsdebordeaux
5555,montpellierheraultsc,parissaint-germain
5556,toulousefc,rclens
5557,valenciennesfc,losclille
5558,acarles-avignon,smcaen
5559,girondinsdebordeaux,valenciennesfc
5560,rclens,montpellierheraultsc
5561,losclille,stadebrestois29
5562,asnancy-lorraine,asmonaco
5563,ogcnice,toulousefc
5564,parissaint-germain,olympiquedemarseille
5565,staderennaisfc,olympiquelyonnais
5566,assaint-etienne,fclorient
5567,fcsochaux-montbeliard,ajauxerre
5568,ajauxerre,staderennaisfc
5569,girondinsdebordeaux,asnancy-lorraine
5570,stadebrestois29,fcsochaux-montbeliard
5571,smcaen,losclille
5572,fclorient,parissaint-germain
5573,olympiquelyonnais,ogcnice
5574,olympiquedemarseille,rclens
5575,asmonaco,acarles-avignon
5576,montpellierheraultsc,toulousefc
5577,valenciennesfc,assaint-etienne
5578,acarles-avignon,girondinsdebordeaux
5579,rclens,olympiquelyonnais
5580,losclille,asmonaco
5581,asnancy-lorraine,valenciennesfc
5582,ogcnice,montpellierheraultsc
5583,parissaint-germain,smcaen
5584,staderennaisfc,stadebrestois29
5585,assaint-etienne,ajauxerre
5586,fcsochaux-montbeliard,fclorient
5587,toulousefc,olympiquedemarseille
5588,ajauxerre,toulousefc
5589,girondinsdebordeaux,losclille
5590,stadebrestois29,rclens
5591,smcaen,fcsochaux-montbeliard
5592,fclorient,staderennaisfc
5593,olympiquelyonnais,parissaint-germain
5594,olympiquedemarseille,montpellierheraultsc
5595,asmonaco,ogcnice
5596,asnancy-lorraine,assaint-etienne
5597,valenciennesfc,acarles-avignon
5598,acarles-avignon,asnancy-lorraine
5599,rclens,ajauxerre
5600,losclille,fclorient
5601,montpellierheraultsc,olympiquelyonnais
5602,ogcnice,olympiquedemarseille
5603,parissaint-germain,stadebrestois29
5604,staderennaisfc,asmonaco
5605,assaint-etienne,girondinsdebordeaux
5606,fcsochaux-montbeliard,valenciennesfc
5607,toulousefc,smcaen
5608,acarles-avignon,losclille
5609,ajauxerre,olympiquedemarseille
5610,girondinsdebordeaux,staderennaisfc
5611,stadebrestois29,montpellierheraultsc
5612,smcaen,ogcnice
5613,fclorient,rclens
5614,olympiquelyonnais,toulousefc
5615,asmonaco,assaint-etienne
5616,asnancy-lorraine,fcsochaux-montbeliard
5617,valenciennesfc,parissaint-germain
5618,rclens,smcaen
5619,losclille,asnancy-lorraine
5620,olympiquedemarseille,olympiquelyonnais
5621,montpellierheraultsc,ajauxerre
5622,ogcnice,stadebrestois29
5623,parissaint-germain,asmonaco
5624,staderennaisfc,valenciennesfc
5625,assaint-etienne,acarles-avignon
5626,fcsochaux-montbeliard,girondinsdebordeaux
5627,toulousefc,fclorient
5628,acarles-avignon,ogcnice
5629,girondinsdebordeaux,rclens
5630,stadebrestois29,olympiquedemarseille
5631,smcaen,staderennaisfc
5632,losclille,assaint-etienne
5633,fclorient,montpellierheraultsc
5634,olympiquelyonnais,ajauxerre
5635,asmonaco,fcsochaux-montbeliard
5636,asnancy-lorraine,parissaint-germain
5637,valenciennesfc,toulousefc
5638,acarles-avignon,rclens
5639,girondinsdebordeaux,toulousefc
5640,stadebrestois29,ajauxerre
5641,smcaen,olympiquelyonnais
5642,losclille,parissaint-germain
5643,fclorient,ogcnice
5644,asmonaco,montpellierheraultsc
5645,asnancy-lorraine,staderennaisfc
5646,assaint-etienne,fcsochaux-montbeliard
5647,valenciennesfc,olympiquedemarseille
5648,ajauxerre,asmonaco
5649,stadebrestois29,smcaen
5650,rclens,assaint-etienne
5651,olympiquelyonnais,fclorient
5652,olympiquedemarseille,girondinsdebordeaux
5653,montpellierheraultsc,valenciennesfc
5654,ogcnice,losclille
5655,parissaint-germain,fcsochaux-montbeliard
5656,staderennaisfc,acarles-avignon
5657,toulousefc,asnancy-lorraine
5658,acarles-avignon,parissaint-germain
5659,girondinsdebordeaux,ogcnice
5660,smcaen,ajauxerre
5661,losclille,rclens
5662,fclorient,stadebrestois29
5663,asmonaco,olympiquedemarseille
5664,asnancy-lorraine,montpellierheraultsc
5665,assaint-etienne,toulousefc
5666,fcsochaux-montbeliard,staderennaisfc
5667,valenciennesfc,olympiquelyonnais
5668,ajauxerre,losclille
5669,stadebrestois29,asnancy-lorraine
5670,smcaen,fclorient
5671,rclens,valenciennesfc
5672,olympiquelyonnais,girondinsdebordeaux
5673,olympiquedemarseille,acarles-avignon
5674,montpellierheraultsc,assaint-etienne
5675,ogcnice,fcsochaux-montbeliard
5676,staderennaisfc,parissaint-germain
5677,toulousefc,asmonaco
5678,acarles-avignon,montpellierheraultsc
5679,girondinsdebordeaux,smcaen
5680,losclille,toulousefc
5681,asmonaco,fclorient
5682,asnancy-lorraine,ajauxerre
5683,parissaint-germain,rclens
5684,staderennaisfc,ogcnice
5685,assaint-etienne,olympiquelyonnais
5686,fcsochaux-montbeliard,olympiquedemarseille
5687,valenciennesfc,stadebrestois29
5688,ajauxerre,acarles-avignon
5689,stadebrestois29,asmonaco
5690,smcaen,valenciennesfc
5691,rclens,fcsochaux-montbeliard
5692,fclorient,girondinsdebordeaux
5693,olympiquelyonnais,asnancy-lorraine
5694,olympiquedemarseille,assaint-etienne
5695,montpellierheraultsc,losclille
5696,ogcnice,parissaint-germain
5697,toulousefc,staderennaisfc
5698,acarles-avignon,stadebrestois29
5699,girondinsdebordeaux,ajauxerre
5700,losclille,olympiquelyonnais
5701,asmonaco,smcaen
5702,asnancy-lorraine,olympiquedemarseille
5703,parissaint-germain,toulousefc
5704,staderennaisfc,rclens
5705,assaint-etienne,ogcnice
5706,fcsochaux-montbeliard,montpellierheraultsc
5707,valenciennesfc,fclorient
5708,ajauxerre,parissaint-germain
5709,stadebrestois29,girondinsdebordeaux
5710,smcaen,assaint-etienne
5711,fclorient,asnancy-lorraine
5712,olympiquelyonnais,acarles-avignon
5713,olympiquedemarseille,losclille
5714,montpellierheraultsc,staderennaisfc
5715,ogcnice,rclens
5716,toulousefc,fcsochaux-montbeliard
5717,valenciennesfc,asmonaco
5718,acarles-avignon,fclorient
5719,girondinsdebordeaux,asmonaco
5720,rclens,toulousefc
5721,losclille,valenciennesfc
5722,asnancy-lorraine,smcaen
5723,ogcnice,ajauxerre
5724,parissaint-germain,montpellierheraultsc
5725,staderennaisfc,olympiquedemarseille
5726,assaint-etienne,stadebrestois29
5727,fcsochaux-montbeliard,olympiquelyonnais
5728,ajauxerre,fcsochaux-montbeliard
5729,stadebrestois29,losclille
5730,smcaen,acarles-avignon
5731,fclorient,assaint-etienne
5732,olympiquelyonnais,staderennaisfc
5733,olympiquedemarseille,parissaint-germain
5734,asmonaco,asnancy-lorraine
5735,montpellierheraultsc,rclens
5736,toulousefc,ogcnice
5737,valenciennesfc,girondinsdebordeaux
5738,acarles-avignon,asmonaco
5739,rclens,olympiquedemarseille
5740,losclille,smcaen
5741,asnancy-lorraine,girondinsdebordeaux
5742,ogcnice,olympiquelyonnais
5743,parissaint-germain,fclorient
5744,staderennaisfc,ajauxerre
5745,assaint-etienne,valenciennesfc
5746,fcsochaux-montbeliard,stadebrestois29
5747,toulousefc,montpellierheraultsc
5748,ajauxerre,valenciennesfc
5749,rclens,asmonaco
5750,olympiquelyonnais,stadebrestois29
5751,olympiquedemarseille,fclorient
5752,montpellierheraultsc,smcaen
5753,ogcnice,asnancy-lorraine
5754,parissaint-germain,girondinsdebordeaux
5755,staderennaisfc,assaint-etienne
5756,fcsochaux-montbeliard,losclille
5757,toulousefc,acarles-avignon
5758,ajauxerre,assaint-etienne
5759,girondinsdebordeaux,acarles-avignon
5760,stadebrestois29,staderennaisfc
5761,smcaen,parissaint-germain
5762,fclorient,fcsochaux-montbeliard
5763,olympiquelyonnais,rclens
5764,olympiquedemarseille,toulousefc
5765,asmonaco,losclille
5766,montpellierheraultsc,ogcnice
5767,valenciennesfc,asnancy-lorraine
5768,acarles-avignon,valenciennesfc
5769,rclens,stadebrestois29
5770,losclille,girondinsdebordeaux
5771,montpellierheraultsc,olympiquedemarseille
5772,ogcnice,asmonaco
5773,parissaint-germain,olympiquelyonnais
5774,staderennaisfc,fclorient
5775,assaint-etienne,asnancy-lorraine
5776,fcsochaux-montbeliard,smcaen
5777,toulousefc,ajauxerre
5778,ajauxerre,rclens
5779,girondinsdebordeaux,assaint-etienne
5780,stadebrestois29,parissaint-germain
5781,smcaen,toulousefc
5782,fclorient,losclille
5783,olympiquelyonnais,montpellierheraultsc
5784,olympiquedemarseille,ogcnice
5785,asmonaco,staderennaisfc
5786,asnancy-lorraine,acarles-avignon
5787,valenciennesfc,fcsochaux-montbeliard
5788,rclens,fclorient
5789,losclille,acarles-avignon
5790,olympiquedemarseille,ajauxerre
5791,montpellierheraultsc,stadebrestois29
5792,ogcnice,smcaen
5793,parissaint-germain,valenciennesfc
5794,staderennaisfc,girondinsdebordeaux
5795,assaint-etienne,asmonaco
5796,fcsochaux-montbeliard,asnancy-lorraine
5797,toulousefc,olympiquelyonnais
5798,acarles-avignon,assaint-etienne
5799,ajauxerre,montpellierheraultsc
5800,girondinsdebordeaux,fcsochaux-montbeliard
5801,stadebrestois29,ogcnice
5802,smcaen,rclens
5803,fclorient,toulousefc
5804,olympiquelyonnais,olympiquedemarseille
5805,asmonaco,parissaint-germain
5806,asnancy-lorraine,losclille
5807,valenciennesfc,staderennaisfc
5808,ajauxerre,olympiquelyonnais
5809,rclens,girondinsdebordeaux
5810,olympiquedemarseille,stadebrestois29
5811,montpellierheraultsc,fclorient
5812,ogcnice,acarles-avignon
5813,parissaint-germain,asnancy-lorraine
5814,staderennaisfc,smcaen
5815,assaint-etienne,losclille
5816,fcsochaux-montbeliard,asmonaco
5817,toulousefc,valenciennesfc
5818,acarles-avignon,toulousefc
5819,girondinsdebordeaux,parissaint-germain
5820,stadebrestois29,olympiquelyonnais
5821,smcaen,montpellierheraultsc
5822,losclille,fcsochaux-montbeliard
5823,fclorient,olympiquedemarseille
5824,asmonaco,rclens
5825,asnancy-lorraine,ogcnice
5826,assaint-etienne,staderennaisfc
5827,valenciennesfc,ajauxerre
5828,ajauxerre,stadebrestois29
5829,rclens,acarles-avignon
5830,olympiquelyonnais,smcaen
5831,olympiquedemarseille,valenciennesfc
5832,montpellierheraultsc,asmonaco
5833,ogcnice,fclorient
5834,parissaint-germain,losclille
5835,staderennaisfc,asnancy-lorraine
5836,fcsochaux-montbeliard,assaint-etienne
5837,toulousefc,girondinsdebordeaux
5838,acarles-avignon,fcsochaux-montbeliard
5839,girondinsdebordeaux,montpellierheraultsc
5840,stadebrestois29,toulousefc
5841,smcaen,olympiquedemarseille
5842,losclille,staderennaisfc
5843,fclorient,ajauxerre
5844,asmonaco,olympiquelyonnais
5845,asnancy-lorraine,rclens
5846,assaint-etienne,parissaint-germain
5847,valenciennesfc,ogcnice
5848,acarles-avignon,staderennaisfc
5849,girondinsdebordeaux,olympiquedemarseille
5850,smcaen,stadebrestois29
5851,losclille,ogcnice
5852,fclorient,olympiquelyonnais
5853,asmonaco,ajauxerre
5854,asnancy-lorraine,toulousefc
5855,assaint-etienne,rclens
5856,fcsochaux-montbeliard,parissaint-germain
5857,valenciennesfc,montpellierheraultsc
5858,ajauxerre,smcaen
5859,stadebrestois29,fclorient
5860,rclens,losclille
5861,olympiquelyonnais,valenciennesfc
5862,olympiquedemarseille,asmonaco
5863,montpellierheraultsc,asnancy-lorraine
5864,ogcnice,girondinsdebordeaux
5865,parissaint-germain,acarles-avignon
5866,staderennaisfc,fcsochaux-montbeliard
5867,toulousefc,assaint-etienne
5868,acarles-avignon,olympiquedemarseille
5869,girondinsdebordeaux,olympiquelyonnais
5870,losclille,ajauxerre
5871,fclorient,smcaen
5872,asmonaco,toulousefc
5873,asnancy-lorraine,stadebrestois29
5874,parissaint-germain,staderennaisfc
5875,assaint-etienne,montpellierheraultsc
5876,fcsochaux-montbeliard,ogcnice
5877,valenciennesfc,rclens
5878,ajauxerre,asnancy-lorraine
5879,stadebrestois29,valenciennesfc
5880,smcaen,girondinsdebordeaux
5881,rclens,parissaint-germain
5882,fclorient,asmonaco
5883,olympiquelyonnais,assaint-etienne
5884,olympiquedemarseille,fcsochaux-montbeliard
5885,montpellierheraultsc,acarles-avignon
5886,ogcnice,staderennaisfc
5887,toulousefc,losclille
5888,acarles-avignon,ajauxerre
5889,girondinsdebordeaux,fclorient
5890,losclille,montpellierheraultsc
5891,asmonaco,stadebrestois29
5892,asnancy-lorraine,olympiquelyonnais
5893,parissaint-germain,ogcnice
5894,staderennaisfc,toulousefc
5895,assaint-etienne,olympiquedemarseille
5896,fcsochaux-montbeliard,rclens
5897,valenciennesfc,smcaen
5898,ajauxerre,girondinsdebordeaux
5899,stadebrestois29,acarles-avignon
5900,smcaen,asmonaco
5901,rclens,staderennaisfc
5902,fclorient,valenciennesfc
5903,olympiquelyonnais,losclille
5904,olympiquedemarseille,asnancy-lorraine
5905,montpellierheraultsc,fcsochaux-montbeliard
5906,ogcnice,assaint-etienne
5907,toulousefc,parissaint-germain
5908,acajaccio,toulousefc
5909,girondinsdebordeaux,assaint-etienne
5910,stadebrestois29,evianthonongaillardfc
5911,smcaen,valenciennesfc
5912,dijonfco,staderennaisfc
5913,olympiquedemarseille,fcsochaux-montbeliard
5914,montpellierheraultsc,ajauxerre
5915,asnancy-lorraine,losclille
5916,ogcnice,olympiquelyonnais
5917,parissaint-germain,fclorient
5918,acajaccio,parissaint-germain
5919,ajauxerre,losclille
5920,stadebrestois29,smcaen
5921,evianthonongaillardfc,assaint-etienne
5922,olympiquelyonnais,asnancy-lorraine
5923,montpellierheraultsc,dijonfco
5924,ogcnice,girondinsdebordeaux
5925,staderennaisfc,fclorient
5926,toulousefc,olympiquedemarseille
5927,valenciennesfc,fcsochaux-montbeliard
5928,ajauxerre,staderennaisfc
5929,girondinsdebordeaux,stadebrestois29
5930,smcaen,montpellierheraultsc
5931,losclille,olympiquelyonnais
5932,fclorient,toulousefc
5933,olympiquedemarseille,acajaccio
5934,asnancy-lorraine,ogcnice
5935,parissaint-germain,dijonfco
5936,assaint-etienne,valenciennesfc
5937,fcsochaux-montbeliard,evianthonongaillardfc
5938,acajaccio,girondinsdebordeaux
5939,stadebrestois29,fclorient
5940,dijonfco,olympiquedemarseille
5941,evianthonongaillardfc,ajauxerre
5942,olympiquelyonnais,assaint-etienne
5943,montpellierheraultsc,asnancy-lorraine
5944,ogcnice,fcsochaux-montbeliard
5945,parissaint-germain,smcaen
5946,toulousefc,staderennaisfc
5947,valenciennesfc,losclille
5948,ajauxerre,toulousefc
5949,girondinsdebordeaux,parissaint-germain
5950,smcaen,dijonfco
5951,losclille,evianthonongaillardfc
5952,fclorient,acajaccio
5953,olympiquedemarseille,ogcnice
5954,asnancy-lorraine,stadebrestois29
5955,staderennaisfc,valenciennesfc
5956,assaint-etienne,montpellierheraultsc
5957,fcsochaux-montbeliard,olympiquelyonnais
5958,acajaccio,smcaen
5959,stadebrestois29,fcsochaux-montbeliard
5960,dijonfco,girondinsdebordeaux
5961,evianthonongaillardfc,fclorient
5962,olympiquelyonnais,staderennaisfc
5963,montpellierheraultsc,olympiquedemarseille
5964,ogcnice,assaint-etienne
5965,parissaint-germain,asnancy-lorraine
5966,toulousefc,losclille
5967,valenciennesfc,ajauxerre
5968,ajauxerre,olympiquelyonnais
5969,girondinsdebordeaux,smcaen
5970,losclille,stadebrestois29
5971,fclorient,ogcnice
5972,olympiquedemarseille,parissaint-germain
5973,asnancy-lorraine,dijonfco
5974,staderennaisfc,evianthonongaillardfc
5975,assaint-etienne,acajaccio
5976,fcsochaux-montbeliard,montpellierheraultsc
5977,toulousefc,valenciennesfc
5978,acajaccio,losclille
5979,girondinsdebordeaux,asnancy-lorraine
5980,stadebrestois29,assaint-etienne
5981,smcaen,olympiquedemarseille
5982,dijonfco,fcsochaux-montbeliard
5983,evianthonongaillardfc,valenciennesfc
5984,olympiquelyonnais,toulousefc
5985,montpellierheraultsc,fclorient
5986,ogcnice,staderennaisfc
5987,parissaint-germain,ajauxerre
5988,ajauxerre,ogcnice
5989,losclille,dijonfco
5990,fclorient,olympiquelyonnais
5991,olympiquedemarseille,girondinsdebordeaux
5992,asnancy-lorraine,acajaccio
5993,staderennaisfc,stadebrestois29
5994,assaint-etienne,smcaen
5995,fcsochaux-montbeliard,parissaint-germain
5996,toulousefc,evianthonongaillardfc
5997,valenciennesfc,montpellierheraultsc
5998,acajaccio,staderennaisfc
5999,girondinsdebordeaux,fcsochaux-montbeliard
6000,stadebrestois29,ajauxerre
6001,smcaen,asnancy-lorraine
6002,dijonfco,assaint-etienne
6003,olympiquelyonnais,evianthonongaillardfc
6004,olympiquedemarseille,fclorient
6005,montpellierheraultsc,toulousefc
6006,ogcnice,valenciennesfc
6007,parissaint-germain,losclille
6008,ajauxerre,dijonfco
6009,evianthonongaillardfc,montpellierheraultsc
6010,losclille,ogcnice
6011,fclorient,smcaen
6012,asnancy-lorraine,olympiquedemarseille
6013,staderennaisfc,girondinsdebordeaux
