,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,date,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceAggressionClass,defenceTeamWidthClass,defenceDefenderLineClass,home_team_goal,away_team_goal
325,-6,-19,2,8,0,4,-24,2,0,0,0,0,0,0,-1,0,0,0,-2,1,0,2,1
326,-10,-2,-2,3,-1,-10,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
327,11,4,13,12,20,15,19,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
328,1,35,28,-11,-6,-10,-6,1,0,0,-1,-1,0,-2,0,0,1,0,0,0,0,0,1
329,-4,-24,-32,-4,8,16,0,-2,0,0,0,1,0,2,0,0,-1,0,0,0,0,2,1
330,0,0,-1,0,0,15,-5,10,0,0,0,0,1,0,0,0,1,2,0,0,0,2,0
331,-5,-10,-25,-10,-25,-30,-20,15,0,-1,0,0,0,-1,0,1,1,0,0,0,0,0,1
332,7,7,2,-1,0,1,-1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
333,8,5,-2,3,4,12,10,14,0,0,-1,0,0,0,0,0,0,2,2,0,0,2,2
334,16,-10,-11,11,-17,-1,-14,-7,0,0,0,1,0,2,2,0,-1,0,0,0,0,0,0
335,-10,10,14,0,-20,10,-25,5,0,-1,0,-1,1,1,0,1,1,2,0,0,0,0,3
336,-16,-14,12,18,5,14,-14,2,0,0,0,0,0,0,-1,0,0,0,-2,1,0,1,2
337,11,-4,9,-13,-11,11,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
338,9,15,1,-21,15,-5,-2,9,0,-2,0,-1,0,0,0,0,1,0,0,0,0,0,2
339,1,-14,-7,-16,-5,20,23,-12,0,0,0,0,0,0,1,0,-1,0,0,0,0,2,3
340,-16,11,1,-3,39,4,11,5,0,0,0,-1,1,0,-2,2,1,0,0,0,0,2,0
341,-6,-20,-13,-21,-2,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
342,-8,-13,8,4,-13,-12,-12,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
343,-24,-17,-5,-24,-26,8,6,7,0,2,0,1,0,0,0,-2,-1,0,0,0,0,4,1
344,20,24,15,10,-20,-10,10,-10,0,1,0,0,0,0,-1,1,-1,-2,-1,-1,0,1,2
345,-8,-13,-12,-11,-33,8,-12,-2,0,0,0,0,1,0,0,1,1,0,0,0,0,2,1
346,21,8,-2,12,4,7,3,4,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,1
347,-11,-25,-10,30,-9,-5,-9,-3,0,0,0,0,0,0,2,1,0,0,0,0,0,2,1
348,-13,25,17,23,-6,0,-3,2,0,0,0,-1,0,-2,-1,0,0,0,0,0,0,1,2
349,-8,18,20,11,12,1,-18,8,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2
350,10,-11,-5,0,0,-10,35,-10,0,1,0,1,0,-1,0,0,-1,-2,-1,-1,0,1,1
351,-11,-14,17,28,-5,-6,-24,17,0,0,0,0,0,0,-1,0,0,0,-2,1,0,0,0
352,23,13,-3,28,24,-19,-19,10,0,-2,0,-1,0,0,0,2,1,0,0,0,0,0,1
353,-7,3,-4,-27,-9,17,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
354,-20,-18,-14,24,0,3,-1,4,0,0,1,1,0,0,-1,0,0,0,0,0,0,3,0
355,0,11,20,17,-8,-5,-13,-10,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
356,-16,-9,-5,-13,2,15,5,-4,0,2,0,1,0,0,1,0,-1,0,0,0,0,1,1
357,20,3,1,-2,-17,-12,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
358,0,-5,-10,0,-5,0,35,0,0,0,0,1,0,-1,0,0,0,0,-1,0,0,1,0
359,1,19,-12,-18,-15,-4,4,-17,0,0,0,0,0,0,1,0,0,0,2,-1,0,2,4
360,4,4,0,16,-3,0,-2,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
