,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceAggressionClass,defenceTeamWidthClass,defenceDefenderLineClass,home_team_goal,away_team_goal
490,5.0,5.0,-15.0,2.0,-19.0,-14.0,-5.0,-23.0,0.0,1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
491,-9.0,-6.0,3.0,-17.0,10.0,26.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,1.0
492,-14.0,-3.0,-2.0,22.0,-5.0,23.0,-10.0,-27.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0
493,15.0,2.0,-6.0,-5.0,18.0,-3.0,7.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
494,-28.0,-25.0,-23.0,17.0,-30.0,1.0,-5.0,12.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
495,-26.0,-21.0,-11.0,-9.0,-16.0,-8.0,3.0,-9.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0
496,-20.0,-15.0,-2.0,4.0,-4.0,15.0,24.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,2.0
497,-19.0,-6.0,14.0,-2.0,-1.0,32.0,1.0,5.0,-1.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,-1.0,0.0,1.0,1.0,3.0,1.0
498,-6.0,17.0,22.0,-14.0,-9.0,-4.0,-17.0,-29.0,0.0,-1.0,0.0,0.0,-2.0,1.0,0.0,0.0,-2.0,0.0,-1.0,0.0,1.0,2.0
499,9.0,16.0,-23.0,7.0,-23.0,-21.0,-2.0,-33.0,0.0,0.0,0.0,0.0,-1.0,0.0,-2.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0
500,8.0,1.0,-5.0,-2.0,12.0,1.0,-3.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
501,15.0,10.0,-5.0,-27.0,4.0,14.0,25.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,1.0
502,13.0,18.0,13.0,8.0,-2.0,0.0,8.0,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
503,23.0,-2.0,22.0,-2.0,11.0,-13.0,-25.0,-15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,2.0
504,-3.0,-16.0,-20.0,14.0,-19.0,9.0,13.0,6.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
505,-2.0,19.0,-3.0,-7.0,3.0,15.0,17.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
506,-4.0,15.0,5.0,-8.0,-4.0,3.0,4.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0
507,-6.0,12.0,-8.0,12.0,-24.0,1.0,0.0,-2.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
508,-16.0,-18.0,-1.0,16.0,-19.0,21.0,-2.0,-3.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0
509,-11.0,5.0,-13.0,2.0,-18.0,-19.0,-20.0,-8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
510,2.0,1.0,-10.0,-12.0,-18.0,-7.0,0.0,-9.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,3.0,2.0
511,-5.0,-5.0,3.0,4.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
512,10.0,12.0,15.0,-19.0,23.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
513,17.0,10.0,5.0,3.0,9.0,-17.0,-26.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,2.0,2.0
